date,total_views,unique_views
2022-10-14,10,1
2022-10-15,0,0
2022-10-16,0,0
2022-10-17,0,0
2022-10-18,0,0
2022-10-19,13,1
2022-10-20,0,0
2022-10-21,7,1
2022-10-22,0,0
2022-10-23,1,1
2022-10-24,0,0
2022-10-25,0,0
2022-10-26,0,0
2022-10-27,5,2
2022-10-28,4,1
2022-10-29,0,0
2022-10-30,0,0
2022-10-31,4,2
2022-11-01,0,0
2022-11-02,0,0
2022-11-03,0,0
2022-11-04,0,0
2022-11-05,0,0
2022-11-06,0,0
2022-11-07,11,1
2022-11-08,0,0
2022-11-09,0,0
2022-11-10,2,1
2022-11-11,0,0
2022-11-12,0,0
2022-11-13,0,0
2022-11-14,0,0
2022-11-15,0,0
2022-11-16,0,0
2022-11-17,0,0
2022-11-18,0,0
2022-11-19,0,0
2022-11-20,0,0
